Datetime,CO(GT),NMHC(GT),T,RH,AH,hour,dayofweek,month
2004-03-10 18:00:00,2.6,150.0,13.6,48.9,0.7578,18,2,3
2004-03-10 19:00:00,2.0,112.0,13.3,47.7,0.7255,19,2,3
2004-03-10 20:00:00,2.2,88.0,11.9,54.0,0.7502,20,2,3
2004-03-10 21:00:00,2.2,80.0,11.0,60.0,0.7867,21,2,3
2004-03-10 22:00:00,1.6,51.0,11.2,59.6,0.7888,22,2,3
2004-03-10 23:00:00,1.2,38.0,11.2,59.2,0.7848,23,2,3
2004-03-11 00:00:00,1.2,31.0,11.3,56.8,0.7603,0,3,3
2004-03-11 01:00:00,1.0,31.0,10.7,60.0,0.7702,1,3,3
2004-03-11 02:00:00,0.9,24.0,10.7,59.7,0.7648,2,3,3
2004-03-11 03:00:00,0.6,19.0,10.3,60.2,0.7517,3,3,3
2004-03-11 04:00:00,0.6509360740022502,14.0,10.1,60.5,0.7465,4,3,3
2004-03-11 05:00:00,0.7,8.0,11.0,56.2,0.7366,5,3,3
2004-03-11 06:00:00,0.7,16.0,10.5,58.1,0.7353,6,3,3
2004-03-11 07:00:00,1.1,29.0,10.2,59.6,0.7417,7,3,3
2004-03-11 08:00:00,2.0,64.0,10.8,57.4,0.7408,8,3,3
2004-03-11 09:00:00,2.2,87.0,10.5,60.6,0.7691,9,3,3
2004-03-11 10:00:00,1.7,77.0,10.8,58.4,0.7552,10,3,3
2004-03-11 11:00:00,1.5,43.0,10.5,57.9,0.7352,11,3,3
2004-03-11 12:00:00,1.6,61.0,9.5,66.8,0.7951,12,3,3
2004-03-11 13:00:00,1.9,63.0,8.3,76.4,0.8393,13,3,3
2004-03-11 14:00:00,2.9,164.0,8.0,81.1,0.8736,14,3,3
2004-03-11 15:00:00,2.2,79.0,8.3,79.8,0.8778,15,3,3
2004-03-11 16:00:00,2.2,95.0,9.7,71.2,0.8569,16,3,3
2004-03-11 17:00:00,2.9,150.0,9.8,67.6,0.8185,17,3,3
2004-03-11 18:00:00,4.8,307.0,10.3,64.2,0.8065,18,3,3
2004-03-11 19:00:00,6.9,461.0,9.7,69.3,0.8319,19,3,3
2004-03-11 20:00:00,6.1,401.0,9.6,67.8,0.8133,20,3,3
2004-03-11 21:00:00,3.9,197.0,9.1,64.0,0.7419,21,3,3
2004-03-11 22:00:00,1.5,61.0,8.2,63.4,0.6905,22,3,3
2004-03-11 23:00:00,1.0,26.0,8.2,60.8,0.6657,23,3,3
2004-03-12 00:00:00,1.7,55.0,8.3,58.5,0.6438,0,4,3
2004-03-12 01:00:00,1.9,53.0,7.7,59.7,0.6308,1,4,3
2004-03-12 02:00:00,1.4,40.0,7.1,61.8,0.6276,2,4,3
2004-03-12 03:00:00,0.8,21.0,7.0,62.3,0.6261,3,4,3
2004-03-12 04:00:00,0.5799982953923633,10.0,6.1,65.9,0.6248,4,4,3
2004-03-12 05:00:00,0.6,7.0,6.3,65.0,0.6233,5,4,3
2004-03-12 06:00:00,0.8,17.0,6.8,62.9,0.6234,6,4,3
2004-03-12 07:00:00,1.4,33.0,6.4,65.1,0.6316,7,4,3
2004-03-12 08:00:00,4.4,202.0,7.3,63.1,0.6499,8,4,3
2004-03-12 09:00:00,3.863336141173643,287.95331746031746,9.2,56.2,0.6561,9,4,3
2004-03-12 10:00:00,3.1,208.0,13.2,41.7,0.632,10,4,3
2004-03-12 11:00:00,2.7,166.0,14.3,38.4,0.6243,11,4,3
2004-03-12 12:00:00,2.1,114.0,15.0,36.5,0.6195,12,4,3
2004-03-12 13:00:00,2.5,140.0,16.1,34.5,0.6262,13,4,3
2004-03-12 14:00:00,2.7,169.0,16.3,35.7,0.656,14,4,3
2004-03-12 15:00:00,2.9,185.0,15.8,37.0,0.661,15,4,3
2004-03-12 16:00:00,2.8,165.0,15.9,37.2,0.6657,16,4,3
2004-03-12 17:00:00,2.4,133.0,16.9,34.3,0.6549,17,4,3
2004-03-12 18:00:00,3.9,233.0,15.1,39.6,0.6766,18,4,3
2004-03-12 19:00:00,3.7,242.0,14.4,43.4,0.7084,19,4,3
2004-03-12 20:00:00,6.6,488.0,12.9,50.5,0.7478,20,4,3
2004-03-12 21:00:00,4.4,333.0,12.1,53.3,0.7536,21,4,3
2004-03-12 22:00:00,3.5,215.0,11.0,59.1,0.774,22,4,3
2004-03-12 23:00:00,5.4,367.0,9.7,64.6,0.7771,23,4,3
2004-03-13 00:00:00,2.7,122.0,9.5,64.1,0.7597,0,5,3
2004-03-13 01:00:00,1.9,67.0,9.1,63.9,0.7423,1,5,3
2004-03-13 02:00:00,1.6,43.0,8.8,63.9,0.7256,2,5,3
2004-03-13 03:00:00,1.7,46.0,7.8,67.5,0.7173,3,5,3
2004-03-13 04:00:00,1.5510125633140062,56.0,7.0,71.1,0.7158,4,5,3
2004-03-13 05:00:00,1.0,30.0,8.3,63.6,0.6982,5,5,3
2004-03-13 06:00:00,1.2,27.0,7.2,67.5,0.6887,6,5,3
