,NMHC(GT)
0,150.0
1,112.0
2,88.0
3,80.0
4,51.0
5,38.0
6,31.0
7,31.0
8,24.0
9,19.0
10,14.0
11,8.0
12,16.0
13,29.0
14,64.0
15,87.0
16,77.0
17,43.0
18,61.0
19,63.0
20,164.0
21,79.0
22,95.0
23,150.0
24,307.0
25,461.0
26,401.0
27,197.0
28,61.0
29,26.0
30,55.0
31,53.0
32,40.0
33,21.0
34,10.0
35,7.0
36,17.0
37,33.0
38,202.0
39,287.95331746031746
40,208.0
41,166.0
42,114.0
43,140.0
44,169.0
45,185.0
46,165.0
47,133.0
48,233.0
49,242.0
50,488.0
51,333.0
52,215.0
53,367.0
54,122.0
55,67.0
56,43.0
57,46.0
58,56.0
59,30.0
60,27.0
61,47.0
62,132.0
63,239.0
64,160.0
65,283.0
66,210.0
67,154.0
68,112.0
69,108.0
70,111.0
71,97.0
72,191.0
73,258.0
74,284.0
75,269.0
76,180.0
77,116.0
78,93.0
79,131.0
80,92.0
81,132.0
82,56.0
83,32.0
84,29.0
85,27.0
86,36.0
87,57.0
88,129.0
89,148.0
90,145.0
91,93.0
92,84.0
93,99.0
94,150.0
95,156.0
96,122.0
97,262.0
98,341.0
99,214.0
100,100.0
101,79.0
102,66.0
103,73.0
104,66.0
105,44.0
106,44.0
107,39.0
108,51.0
109,107.0
110,336.0
111,618.0
112,438.0
113,334.0
114,221.0
115,207.0
116,191.0
117,185.0
118,141.0
119,214.0
120,471.0
121,685.0
122,538.0
123,319.0
124,224.0
125,67.0
126,155.0
127,49.0
128,29.0
129,25.0
130,25.0
131,17.0
132,27.0
133,50.0
134,218.0
135,285.0
136,437.0
137,327.0
138,283.0
139,366.0
140,318.0
141,228.0
142,201.0
143,199.0
144,237.0
145,261.0
146,230.0
147,349.0
148,183.0
149,88.0
150,85.0
151,47.0
152,34.0
153,26.0
154,17.0
155,11.0
156,18.0
157,84.0
158,260.0
159,534.0
160,368.0
161,200.0
162,145.0
163,188.0
164,152.0
165,103.0
166,193.0
167,134.0
168,386.0
169,577.0
170,523.0
171,472.0
172,206.0
173,216.0
174,159.0
175,70.0
176,44.0
177,42.0
178,28.0
179,20.0
180,26.0
181,78.0
182,319.0
183,506.0
184,397.1403882275132
185,200.55706295093813
186,170.976082010582
187,168.6418458994709
188,165.8914669312169
189,210.41494775132284
190,228.4225193001443
191,198.6581198292449
192,424.4018517316019
193,447.0457698412697
194,435.9534563492062
195,235.49356042568553
196,134.71723082010584
197,130.58150396825403
198,135.67996825396827
199,93.26133201058204
200,49.39412674362677
201,30.111480158730156
202,27.196099867724868
203,25.378204365079363
204,25.763561507936497
205,85.10801190476185
206,368.7074537037037
207,479.7098465608466
208,450.6204980158729
209,338.0708247354497
210,260.35194312169324
211,334.9329801587301
212,352.41706523569025
213,410.9798915343916
214,382.4335264550265
215,486.43414947089974
216,453.75106613756594
217,573.3783068783066
218,395.15705158730174
219,330.7393613516117
220,178.50043308080805
221,134.44699074074074
222,83.97029497354498
223,64.5985482804233
224,69.92923875661376
225,53.19183862433861
226,42.235340608465584
227,45.02856824194323
228,27.88191931216929
229,67.3309286315536
230,118.22897919672924
231,129.0685707671957
232,177.22766203703708
233,180.70861177248676
234,172.08087301587304
235,172.94833201058202
236,134.01063492063483
237,120.4064417989418
238,109.16150462962965
239,155.08945304232802
240,196.2660661375661
241,282.64073965848945
242,289.99871320346296
243,230.78115301827813
244,161.0412903439153
245,125.64907010582024
246,158.12513888888884
247,94.31905357142853
248,81.15575132275127
249,83.46838029100527
250,94.72129894179896
251,58.10912109187108
252,28.960216269841258
253,42.011572751322774
254,50.400178571428576
255,59.88505621693119
256,93.96059126984125
257,117.13665079365084
258,127.17881018518524
259,113.45113227513232
260,75.93019113756613
261,140.8832744708994
262,112.5741964285714
263,142.47678108465607
264,251.91113714526205
265,219.8936656445407
266,265.2781821188071
267,167.32681283068786
268,146.01763558201063
269,124.38717460317471
270,83.06272619047614
271,64.01432738095242
272,33.09560978835975
273,26.895203042328035
274,25.633414682539684
275,24.562585978835976
276,29.451276455026424
277,67.0230892857143
278,331.9454576719577
279,445.3649160052907
280,125.50628240740748
281,130.4212142857143
282,179.78610119047613
283,187.80954316979313
284,211.46913510101012
285,197.27806565656564
286,451.0
287,185.0
288,426.0
289,672.0
290,624.0
291,325.0
292,143.0
293,89.0
294,73.0
295,48.0
296,47.0
297,36.0
298,25.0
299,19.0
300,26.0
301,60.0
302,248.0
303,535.0
304,340.0
305,325.0
306,267.0
307,325.0
308,268.0
309,136.0
310,118.0
311,276.0
312,151.0
313,236.0
314,220.0
315,87.0
316,81.0
317,74.0
318,55.0
319,74.0
320,35.0
321,29.0
322,29.0
323,20.0
324,32.0
325,84.0
326,245.0
327,553.0
328,450.0
329,118.0
330,118.0
331,144.0
332,159.0
333,122.0
334,230.0
335,320.0
336,263.0
337,556.0
338,458.0
339,214.0
340,97.0
341,79.0
342,81.0
343,52.0
344,38.0
345,35.0
346,29.0
347,21.0
348,46.0
349,55.0
350,271.0
351,434.0
352,300.0
353,116.0
354,95.0
355,211.0
356,168.0
357,154.0
358,267.0
359,143.0
360,374.0
361,797.0
362,698.0
363,234.0
364,104.0
365,67.0
366,88.0
367,79.0
368,61.0
369,43.0
370,40.0
371,52.0
372,64.0
373,88.0
374,375.0
375,592.0
376,357.0
377,296.0
378,181.0
379,211.0
380,199.0
381,81.0
382,143.0
383,247.0
384,239.0
385,267.0
386,261.0
387,97.0
388,66.0
389,60.0
390,77.0
391,57.0
392,65.0
393,59.0
394,48.0
395,27.0
396,25.0
397,42.0
398,78.0
399,128.0
400,184.0
401,156.0
402,176.0
403,232.0
404,305.0
405,150.0
406,188.0
407,221.0
408,219.0
409,306.0
410,270.0
411,231.0
412,125.0
413,122.0
414,161.0
415,101.0
416,95.0
417,129.0
418,96.0
419,54.0
420,63.0
421,72.0
422,91.0
423,127.0
424,193.0
425,188.0
426,151.0
427,103.0
428,55.0
