Date,Time,NO2(GT),PT08.S4(NO2),Temperature (C),Relative Humidity,Absolute Humidity,Datetime
2004-03-10,18:00:00,113.0,1692.0,13.6,48.9,0.7578,2004-03-10 18:00:00
2004-03-10,19:00:00,92.0,1559.0,13.3,47.7,0.7255,2004-03-10 19:00:00
2004-03-10,20:00:00,114.0,1555.0,11.9,54.0,0.7502,2004-03-10 20:00:00
2004-03-10,21:00:00,122.0,1584.0,11.0,60.0,0.7867,2004-03-10 21:00:00
2004-03-10,22:00:00,116.0,1490.0,11.2,59.6,0.7888,2004-03-10 22:00:00
2004-03-10,23:00:00,96.0,1393.0,11.2,59.2,0.7848,2004-03-10 23:00:00
2004-03-11,00:00:00,77.0,1333.0,11.3,56.8,0.7603,2004-03-11 00:00:00
2004-03-11,01:00:00,76.0,1333.0,10.7,60.0,0.7702,2004-03-11 01:00:00
2004-03-11,02:00:00,60.0,1276.0,10.7,59.7,0.7648,2004-03-11 02:00:00
2004-03-11,03:00:00,80.11538461538461,1235.0,10.3,60.2,0.7517,2004-03-11 03:00:00
2004-03-11,04:00:00,34.0,1197.0,10.1,60.5,0.7465,2004-03-11 04:00:00
2004-03-11,05:00:00,28.0,1182.0,11.0,56.2,0.7366,2004-03-11 05:00:00
2004-03-11,06:00:00,48.0,1221.0,10.5,58.1,0.7353,2004-03-11 06:00:00
2004-03-11,07:00:00,82.0,1339.0,10.2,59.6,0.7417,2004-03-11 07:00:00
2004-03-11,08:00:00,112.0,1517.0,10.8,57.4,0.7408,2004-03-11 08:00:00
2004-03-11,09:00:00,101.0,1583.0,10.5,60.6,0.7691,2004-03-11 09:00:00
2004-03-11,10:00:00,98.0,1446.0,10.8,58.4,0.7552,2004-03-11 10:00:00
2004-03-11,11:00:00,92.0,1362.0,10.5,57.9,0.7352,2004-03-11 11:00:00
2004-03-11,12:00:00,95.0,1401.0,9.5,66.8,0.7951,2004-03-11 12:00:00
2004-03-11,13:00:00,112.0,1537.0,8.3,76.4,0.8393,2004-03-11 13:00:00
2004-03-11,14:00:00,128.0,1730.0,8.0,81.1,0.8736,2004-03-11 14:00:00
2004-03-11,15:00:00,126.0,1647.0,8.3,79.8,0.8778,2004-03-11 15:00:00
2004-03-11,16:00:00,131.0,1591.0,9.7,71.2,0.8569,2004-03-11 16:00:00
2004-03-11,17:00:00,135.0,1719.0,9.8,67.6,0.8185,2004-03-11 17:00:00
2004-03-11,18:00:00,151.0,2083.0,10.3,64.2,0.8065,2004-03-11 18:00:00
2004-03-11,19:00:00,172.0,2333.0,9.7,69.3,0.8319,2004-03-11 19:00:00
2004-03-11,20:00:00,165.0,2191.0,9.6,67.8,0.8133,2004-03-11 20:00:00
2004-03-11,21:00:00,136.0,1707.0,9.1,64.0,0.7419,2004-03-11 21:00:00
2004-03-11,22:00:00,85.0,1333.0,8.2,63.4,0.6905,2004-03-11 22:00:00
2004-03-11,23:00:00,53.0,1252.0,8.2,60.8,0.6657,2004-03-11 23:00:00
2004-03-12,00:00:00,97.0,1375.0,8.3,58.5,0.6438,2004-03-12 00:00:00
2004-03-12,01:00:00,110.0,1378.0,7.7,59.7,0.6308,2004-03-12 01:00:00
2004-03-12,02:00:00,91.0,1304.0,7.1,61.8,0.6276,2004-03-12 02:00:00
2004-03-12,03:00:00,80.11538461538461,1187.0,7.0,62.3,0.6261,2004-03-12 03:00:00
2004-03-12,04:00:00,32.0,1134.0,6.1,65.9,0.6248,2004-03-12 04:00:00
2004-03-12,05:00:00,44.0,1155.0,6.3,65.0,0.6233,2004-03-12 05:00:00
2004-03-12,06:00:00,71.0,1223.0,6.8,62.9,0.6234,2004-03-12 06:00:00
2004-03-12,07:00:00,104.0,1361.0,6.4,65.1,0.6316,2004-03-12 07:00:00
2004-03-12,08:00:00,141.0,1900.0,7.3,63.1,0.6499,2004-03-12 08:00:00
2004-03-12,09:00:00,130.87687687687688,2058.0,9.2,56.2,0.6561,2004-03-12 09:00:00
2004-03-12,10:00:00,122.0,1712.0,13.2,41.7,0.632,2004-03-12 10:00:00
2004-03-12,11:00:00,143.0,1598.0,14.3,38.4,0.6243,2004-03-12 11:00:00
2004-03-12,12:00:00,113.0,1537.0,15.0,36.5,0.6195,2004-03-12 12:00:00
2004-03-12,13:00:00,116.0,1593.0,16.1,34.5,0.6262,2004-03-12 13:00:00
2004-03-12,14:00:00,123.0,1660.0,16.3,35.7,0.656,2004-03-12 14:00:00
2004-03-12,15:00:00,126.0,1740.0,15.8,37.0,0.661,2004-03-12 15:00:00
2004-03-12,16:00:00,120.0,1657.0,15.9,37.2,0.6657,2004-03-12 16:00:00
2004-03-12,17:00:00,119.0,1610.0,16.9,34.3,0.6549,2004-03-12 17:00:00
2004-03-12,18:00:00,149.0,1910.0,15.1,39.6,0.6766,2004-03-12 18:00:00
2004-03-12,19:00:00,145.0,1847.0,14.4,43.4,0.7084,2004-03-12 19:00:00
2004-03-12,20:00:00,170.0,2390.0,12.9,50.5,0.7478,2004-03-12 20:00:00
2004-03-12,21:00:00,149.0,1941.0,12.1,53.3,0.7536,2004-03-12 21:00:00
2004-03-12,22:00:00,139.0,1723.0,11.0,59.1,0.774,2004-03-12 22:00:00
2004-03-12,23:00:00,134.0,2062.0,9.7,64.6,0.7771,2004-03-12 23:00:00
2004-03-13,00:00:00,113.0,1544.0,9.5,64.1,0.7597,2004-03-13 00:00:00
2004-03-13,01:00:00,97.0,1463.0,9.1,63.9,0.7423,2004-03-13 01:00:00
2004-03-13,02:00:00,82.0,1365.0,8.8,63.9,0.7256,2004-03-13 02:00:00
2004-03-13,03:00:00,80.11538461538461,1380.0,7.8,67.5,0.7173,2004-03-13 03:00:00
2004-03-13,04:00:00,83.0,1412.0,7.0,71.1,0.7158,2004-03-13 04:00:00
2004-03-13,05:00:00,65.0,1274.0,8.3,63.6,0.6982,2004-03-13 05:00:00
2004-03-13,06:00:00,60.0,1268.0,7.2,67.5,0.6887,2004-03-13 06:00:00
2004-03-13,07:00:00,77.0,1409.0,6.3,71.9,0.6932,2004-03-13 07:00:00
2004-03-13,08:00:00,96.0,1678.0,6.5,71.6,0.6945,2004-03-13 08:00:00
2004-03-13,09:00:00,119.0,1777.0,9.6,59.7,0.7124,2004-03-13 09:00:00
2004-03-13,10:00:00,126.0,1667.0,12.4,51.2,0.7335,2004-03-13 10:00:00
2004-03-13,11:00:00,158.0,1780.0,15.6,42.2,0.7451,2004-03-13 11:00:00
2004-03-13,12:00:00,161.0,1679.0,18.4,33.8,0.709,2004-03-13 12:00:00
2004-03-13,13:00:00,124.0,1600.0,19.4,31.3,0.695,2004-03-13 13:00:00
2004-03-13,14:00:00,102.0,1488.0,18.0,34.8,0.7127,2004-03-13 14:00:00
2004-03-13,15:00:00,116.0,1532.0,18.4,33.6,0.7042,2004-03-13 15:00:00
2004-03-13,16:00:00,124.0,1554.0,17.6,35.1,0.7012,2004-03-13 16:00:00
2004-03-13,17:00:00,125.0,1602.0,16.7,37.8,0.7117,2004-03-13 17:00:00
2004-03-13,18:00:00,148.0,1779.0,16.1,41.0,0.7451,2004-03-13 18:00:00
2004-03-13,19:00:00,165.0,1922.0,15.8,42.4,0.7569,2004-03-13 19:00:00
2004-03-13,20:00:00,161.0,1915.0,15.7,44.1,0.7786,2004-03-13 20:00:00
2004-03-13,21:00:00,159.0,1860.0,15.3,46.8,0.8091,2004-03-13 21:00:00
2004-03-13,22:00:00,143.0,1748.0,14.6,48.6,0.806,2004-03-13 22:00:00
2004-03-13,23:00:00,130.0,1603.0,14.7,49.3,0.8193,2004-03-13 23:00:00
2004-03-14,00:00:00,129.0,1611.0,13.9,53.6,0.8498,2004-03-14 00:00:00
2004-03-14,01:00:00,119.0,1624.0,14.6,51.5,0.8536,2004-03-14 01:00:00
2004-03-14,02:00:00,104.0,1543.0,12.5,58.9,0.8537,2004-03-14 02:00:00
2004-03-14,03:00:00,80.11538461538461,1620.0,11.6,63.4,0.8674,2004-03-14 03:00:00
2004-03-14,04:00:00,82.0,1452.0,12.1,61.1,0.8603,2004-03-14 04:00:00
2004-03-14,05:00:00,70.0,1377.0,11.5,63.1,0.8533,2004-03-14 05:00:00
2004-03-14,06:00:00,63.0,1333.0,11.6,62.2,0.8473,2004-03-14 06:00:00
2004-03-14,07:00:00,67.0,1340.0,10.4,67.6,0.853,2004-03-14 07:00:00
2004-03-14,08:00:00,84.0,1414.0,11.6,62.7,0.853,2004-03-14 08:00:00
2004-03-14,09:00:00,83.0,1527.0,12.4,60.0,0.8627,2004-03-14 09:00:00
2004-03-14,10:00:00,98.0,1614.0,14.5,53.1,0.8728,2004-03-14 10:00:00
2004-03-14,11:00:00,114.0,1696.0,16.9,46.1,0.8789,2004-03-14 11:00:00
2004-03-14,12:00:00,119.0,1677.0,19.3,38.3,0.8474,2004-03-14 12:00:00
2004-03-14,13:00:00,104.0,1525.0,21.2,31.4,0.7812,2004-03-14 13:00:00
2004-03-14,14:00:00,102.0,1490.0,21.4,30.2,0.7616,2004-03-14 14:00:00
2004-03-14,15:00:00,107.0,1511.0,21.9,29.0,0.7525,2004-03-14 15:00:00
2004-03-14,16:00:00,129.0,1646.0,22.2,28.4,0.7516,2004-03-14 16:00:00
2004-03-14,17:00:00,128.0,1668.0,21.3,30.8,0.7696,2004-03-14 17:00:00
2004-03-14,18:00:00,121.0,1671.0,19.7,36.7,0.8307,2004-03-14 18:00:00
2004-03-14,19:00:00,157.0,1993.0,18.4,41.7,0.8732,2004-03-14 19:00:00
2004-03-14,20:00:00,173.0,2103.0,17.6,46.1,0.921,2004-03-14 20:00:00
2004-03-14,21:00:00,146.0,1818.0,16.7,49.6,0.932,2004-03-14 21:00:00
2004-03-14,22:00:00,121.0,1587.0,16.3,51.0,0.9341,2004-03-14 22:00:00
2004-03-14,23:00:00,119.0,1617.0,14.7,55.9,0.9314,2004-03-14 23:00:00
2004-03-15,00:00:00,99.0,1547.0,14.8,54.7,0.9164,2004-03-15 00:00:00
2004-03-15,01:00:00,93.0,1543.0,14.0,57.0,0.9094,2004-03-15 01:00:00
2004-03-15,02:00:00,88.0,1566.0,13.4,61.3,0.9361,2004-03-15 02:00:00
2004-03-15,03:00:00,80.11538461538461,1487.0,12.6,63.5,0.923,2004-03-15 03:00:00
2004-03-15,04:00:00,71.0,1468.0,12.3,65.4,0.9351,2004-03-15 04:00:00
2004-03-15,05:00:00,74.0,1464.0,11.9,67.4,0.9375,2004-03-15 05:00:00
2004-03-15,06:00:00,80.0,1584.0,11.4,70.5,0.9475,2004-03-15 06:00:00
2004-03-15,07:00:00,89.0,1710.0,11.3,70.2,0.9401,2004-03-15 07:00:00
2004-03-15,08:00:00,114.0,2323.0,12.4,63.9,0.917,2004-03-15 08:00:00
2004-03-15,09:00:00,149.0,2665.0,14.8,54.3,0.9076,2004-03-15 09:00:00
2004-03-15,10:00:00,157.0,2262.0,17.4,45.6,0.8993,2004-03-15 10:00:00
2004-03-15,11:00:00,155.0,2029.0,19.8,38.5,0.8801,2004-03-15 11:00:00
2004-03-15,12:00:00,134.0,1783.0,22.0,34.1,0.8904,2004-03-15 12:00:00
2004-03-15,13:00:00,119.0,1831.0,23.3,32.2,0.9096,2004-03-15 13:00:00
2004-03-15,14:00:00,111.0,1829.0,23.9,30.0,0.8757,2004-03-15 14:00:00
2004-03-15,15:00:00,104.0,1707.0,24.4,28.9,0.8736,2004-03-15 15:00:00
2004-03-15,16:00:00,99.0,1675.0,24.4,29.4,0.8848,2004-03-15 16:00:00
2004-03-15,17:00:00,110.0,1824.0,23.8,31.3,0.9137,2004-03-15 17:00:00
2004-03-15,18:00:00,162.0,2447.0,22.5,35.4,0.9547,2004-03-15 18:00:00
2004-03-15,19:00:00,187.0,2679.0,20.4,42.5,1.0086,2004-03-15 19:00:00
2004-03-15,20:00:00,165.0,2443.0,18.3,52.6,1.0945,2004-03-15 20:00:00
2004-03-15,21:00:00,145.0,2058.0,16.7,57.4,1.0786,2004-03-15 21:00:00
2004-03-15,22:00:00,125.0,1856.0,15.7,60.2,1.0654,2004-03-15 22:00:00
2004-03-15,23:00:00,101.0,1547.0,15.3,61.4,1.058,2004-03-15 23:00:00
2004-03-16,00:00:00,103.0,1731.0,14.1,65.7,1.0494,2004-03-16 00:00:00
2004-03-16,01:00:00,88.0,1483.0,14.8,60.6,1.0148,2004-03-16 01:00:00
