Date,Time,NOx(GT),PT08.S3(NOx),Temperature (C),Relative Humidity,Absolute Humidity,Datetime
2004-03-10,18:00:00,166.0,1056.0,13.6,48.9,0.7578,2004-03-10 18:00:00
2004-03-10,19:00:00,103.0,1174.0,13.3,47.7,0.7255,2004-03-10 19:00:00
2004-03-10,20:00:00,131.0,1140.0,11.9,54.0,0.7502,2004-03-10 20:00:00
2004-03-10,21:00:00,172.0,1092.0,11.0,60.0,0.7867,2004-03-10 21:00:00
2004-03-10,22:00:00,131.0,1205.0,11.2,59.6,0.7888,2004-03-10 22:00:00
2004-03-10,23:00:00,89.0,1337.0,11.2,59.2,0.7848,2004-03-10 23:00:00
2004-03-11,00:00:00,62.0,1462.0,11.3,56.8,0.7603,2004-03-11 00:00:00
2004-03-11,01:00:00,62.0,1453.0,10.7,60.0,0.7702,2004-03-11 01:00:00
2004-03-11,02:00:00,45.0,1579.0,10.7,59.7,0.7648,2004-03-11 02:00:00
2004-03-11,03:00:00,114.57692307692308,1705.0,10.3,60.2,0.7517,2004-03-11 03:00:00
2004-03-11,04:00:00,21.0,1818.0,10.1,60.5,0.7465,2004-03-11 04:00:00
2004-03-11,05:00:00,16.0,1918.0,11.0,56.2,0.7366,2004-03-11 05:00:00
2004-03-11,06:00:00,34.0,1738.0,10.5,58.1,0.7353,2004-03-11 06:00:00
2004-03-11,07:00:00,98.0,1490.0,10.2,59.6,0.7417,2004-03-11 07:00:00
2004-03-11,08:00:00,174.0,1136.0,10.8,57.4,0.7408,2004-03-11 08:00:00
2004-03-11,09:00:00,129.0,1079.0,10.5,60.6,0.7691,2004-03-11 09:00:00
2004-03-11,10:00:00,112.0,1218.0,10.8,58.4,0.7552,2004-03-11 10:00:00
2004-03-11,11:00:00,95.0,1328.0,10.5,57.9,0.7352,2004-03-11 11:00:00
2004-03-11,12:00:00,104.0,1301.0,9.5,66.8,0.7951,2004-03-11 12:00:00
2004-03-11,13:00:00,146.0,1162.0,8.3,76.4,0.8393,2004-03-11 13:00:00
2004-03-11,14:00:00,207.0,983.0,8.0,81.1,0.8736,2004-03-11 14:00:00
2004-03-11,15:00:00,184.0,1082.0,8.3,79.8,0.8778,2004-03-11 15:00:00
2004-03-11,16:00:00,193.0,1103.0,9.7,71.2,0.8569,2004-03-11 16:00:00
2004-03-11,17:00:00,243.0,1008.0,9.8,67.6,0.8185,2004-03-11 17:00:00
2004-03-11,18:00:00,281.0,799.0,10.3,64.2,0.8065,2004-03-11 18:00:00
2004-03-11,19:00:00,383.0,702.0,9.7,69.3,0.8319,2004-03-11 19:00:00
