Datetime,PT08.S1(CO),PT08.S2(NMHC),T,RH,AH,hour,dayofweek,month
2004-03-10 18:00:00,1360.0,1046.0,13.6,48.9,0.7578,18,2,3
2004-03-10 19:00:00,1292.0,955.0,13.3,47.7,0.7255,19,2,3
2004-03-10 20:00:00,1402.0,939.0,11.9,54.0,0.7502,20,2,3
2004-03-10 21:00:00,1376.0,948.0,11.0,60.0,0.7867,21,2,3
2004-03-10 22:00:00,1272.0,836.0,11.2,59.6,0.7888,22,2,3
2004-03-10 23:00:00,1197.0,750.0,11.2,59.2,0.7848,23,2,3
2004-03-11 00:00:00,1185.0,690.0,11.3,56.8,0.7603,0,3,3
2004-03-11 01:00:00,1136.0,672.0,10.7,60.0,0.7702,1,3,3
2004-03-11 02:00:00,1094.0,609.0,10.7,59.7,0.7648,2,3,3
2004-03-11 03:00:00,1010.0,561.0,10.3,60.2,0.7517,3,3,3
2004-03-11 04:00:00,1011.0,527.0,10.1,60.5,0.7465,4,3,3
2004-03-11 05:00:00,1066.0,512.0,11.0,56.2,0.7366,5,3,3
2004-03-11 06:00:00,1052.0,553.0,10.5,58.1,0.7353,6,3,3
2004-03-11 07:00:00,1144.0,667.0,10.2,59.6,0.7417,7,3,3
2004-03-11 08:00:00,1333.0,900.0,10.8,57.4,0.7408,8,3,3
2004-03-11 09:00:00,1351.0,960.0,10.5,60.6,0.7691,9,3,3
2004-03-11 10:00:00,1233.0,827.0,10.8,58.4,0.7552,10,3,3
2004-03-11 11:00:00,1179.0,762.0,10.5,57.9,0.7352,11,3,3
2004-03-11 12:00:00,1236.0,774.0,9.5,66.8,0.7951,12,3,3
2004-03-11 13:00:00,1286.0,869.0,8.3,76.4,0.8393,13,3,3
2004-03-11 14:00:00,1371.0,1034.0,8.0,81.1,0.8736,14,3,3
2004-03-11 15:00:00,1310.0,933.0,8.3,79.8,0.8778,15,3,3
2004-03-11 16:00:00,1292.0,912.0,9.7,71.2,0.8569,16,3,3
2004-03-11 17:00:00,1383.0,1020.0,9.8,67.6,0.8185,17,3,3
2004-03-11 18:00:00,1581.0,1319.0,10.3,64.2,0.8065,18,3,3
2004-03-11 19:00:00,1776.0,1488.0,9.7,69.3,0.8319,19,3,3
2004-03-11 20:00:00,1640.0,1404.0,9.6,67.8,0.8133,20,3,3
2004-03-11 21:00:00,1313.0,1076.0,9.1,64.0,0.7419,21,3,3
2004-03-11 22:00:00,965.0,749.0,8.2,63.4,0.6905,22,3,3
2004-03-11 23:00:00,913.0,629.0,8.2,60.8,0.6657,23,3,3
2004-03-12 00:00:00,1080.0,805.0,8.3,58.5,0.6438,0,4,3
2004-03-12 01:00:00,1044.0,829.0,7.7,59.7,0.6308,1,4,3
2004-03-12 02:00:00,988.0,718.0,7.1,61.8,0.6276,2,4,3
2004-03-12 03:00:00,889.0,574.0,7.0,62.3,0.6261,3,4,3
2004-03-12 04:00:00,831.0,506.0,6.1,65.9,0.6248,4,4,3
2004-03-12 05:00:00,847.0,501.0,6.3,65.0,0.6233,5,4,3
2004-03-12 06:00:00,927.0,571.0,6.8,62.9,0.6234,6,4,3
2004-03-12 07:00:00,1091.0,730.0,6.4,65.1,0.6316,7,4,3
2004-03-12 08:00:00,1587.0,1236.0,7.3,63.1,0.6499,8,4,3
2004-03-12 09:00:00,1545.0,1353.0,9.2,56.2,0.6561,9,4,3
2004-03-12 10:00:00,1350.0,1118.0,13.2,41.7,0.632,10,4,3
2004-03-12 11:00:00,1263.0,1037.0,14.3,38.4,0.6243,11,4,3
2004-03-12 12:00:00,1206.0,986.0,15.0,36.5,0.6195,12,4,3
2004-03-12 13:00:00,1252.0,1016.0,16.1,34.5,0.6262,13,4,3
2004-03-12 14:00:00,1287.0,1078.0,16.3,35.7,0.656,14,4,3
2004-03-12 15:00:00,1353.0,1122.0,15.8,37.0,0.661,15,4,3
